Наименование	Ссылка	Значение	Представление	ОтборЗначений
e9d592de-dd41-11e8-83dc-485ab6090f00	e9d592e1-dd41-11e8-83dc-485ab6090f00	CREATEINFOBASE	Создание информационной базы	
e9d592de-dd41-11e8-83dc-485ab6090f00	e9d592e0-dd41-11e8-83dc-485ab6090f00	ENTERPRISE	Предприятие	
e9d592de-dd41-11e8-83dc-485ab6090f00	e9d592df-dd41-11e8-83dc-485ab6090f00	DESIGNER	Конфигуратор	
e9d592e3-dd41-11e8-83dc-485ab6090f00	e9d592e4-dd41-11e8-83dc-485ab6090f00	/F	Подключение к файловой базе	
e9d592e3-dd41-11e8-83dc-485ab6090f00	e9d592e5-dd41-11e8-83dc-485ab6090f00	/S	Подключение к клиент-серверной базе	
e9d592e3-dd41-11e8-83dc-485ab6090f00	e9d592e6-dd41-11e8-83dc-485ab6090f00	/WS	Подключение к веб-серверной базе	
e9d592e3-dd41-11e8-83dc-485ab6090f00	e9d592e7-dd41-11e8-83dc-485ab6090f00	/IBName	Подключение по имени ИБ	
e9d592e3-dd41-11e8-83dc-485ab6090f00	e9d592e8-dd41-11e8-83dc-485ab6090f00	/IBConnectionString	Подключение по строке соединения	
e9d592f4-dd41-11e8-83dc-485ab6090f00	e9d592f5-dd41-11e8-83dc-485ab6090f00	-	Запрещено	
e9d592f4-dd41-11e8-83dc-485ab6090f00	e9d592f6-dd41-11e8-83dc-485ab6090f00	+	Обязательно	
e9d592f8-dd41-11e8-83dc-485ab6090f00	e9d592f9-dd41-11e8-83dc-485ab6090f00	-	Запрещено	
e9d592f8-dd41-11e8-83dc-485ab6090f00	e9d592fa-dd41-11e8-83dc-485ab6090f00	+	Обязательно	
e9d592fd-dd41-11e8-83dc-485ab6090f00	e9d592fe-dd41-11e8-83dc-485ab6090f00	-	Не выполнять	
e9d592fd-dd41-11e8-83dc-485ab6090f00	e9d592ff-dd41-11e8-83dc-485ab6090f00	+	Выполнять для каждой базы	
e9d59300-dd41-11e8-83dc-485ab6090f00	e9d59301-dd41-11e8-83dc-485ab6090f00	/NoProxy	Запретить использование прокси	
e9d59300-dd41-11e8-83dc-485ab6090f00	e9d59302-dd41-11e8-83dc-485ab6090f00	/Proxy	Использовать прокси	
e9d59307-dd41-11e8-83dc-485ab6090f00	e9d59308-dd41-11e8-83dc-485ab6090f00	/TestManager	Менеджер тестирования	
e9d59307-dd41-11e8-83dc-485ab6090f00	e9d59309-dd41-11e8-83dc-485ab6090f00	/TestClient	Клиент тестирования	
e9d59307-dd41-11e8-83dc-485ab6090f00	e9d5930a-dd41-11e8-83dc-485ab6090f00	/UILogRecorder	Запись журнала интерактивных действий пользователя	
e9d59311-dd41-11e8-83dc-485ab6090f00	e9d59312-dd41-11e8-83dc-485ab6090f00	Normal	Обычная	
e9d59311-dd41-11e8-83dc-485ab6090f00	e9d59313-dd41-11e8-83dc-485ab6090f00	Low	Низкая скорость соединения	
e9d59316-dd41-11e8-83dc-485ab6090f00	e9d59317-dd41-11e8-83dc-485ab6090f00	/iTaxi	Такси	
