Наименование	Раздел	Родитель	Опция	ОтборПоЗначению	ТипЗначенияПараметра	РазрешеноКопирование	ПроверкаЗаполнения	Автоиспользование	БезПробелов	Кавычки	КавычкиДляЗначения	Описание
Режим запуска	e9d592de-dd41-11e8-83dc-485ab6090f00	00000000-0000-0000-0000-000000000000			Перечисление	Да	Да	Да	Нет	Нет	Нет	"DESIGNER - запуск системы 1С:Предприятие 8 в режиме ""Конфигуратор"",
ENTERPRISE - запуск системы 1С:Предприятие 8 в режиме ""1С:Предприятие"",
CREATEINFOBASE - создание информационной базы."
Общие параметры запуска	e9d592e2-dd41-11e8-83dc-485ab6090f00	e9d592de-dd41-11e8-83dc-485ab6090f00		 e9d592df-dd41-11e8-83dc-485ab6090f00, e9d592e0-dd41-11e8-83dc-485ab6090f00		Нет	Нет	Да	Нет	Нет	Нет	
Настройка аутентификации	e9d592f1-dd41-11e8-83dc-485ab6090f00	e9d592e2-dd41-11e8-83dc-485ab6090f00				Нет	Нет	Нет	Нет	Нет	Нет	
Имя пользователя	e9d592f2-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/N		Строка	Нет	Да	Нет	Нет	Нет	Да	"/N <имя>
— имя пользователя. Должно быть указано так же, как в списке пользователей, создаваемом в Конфигураторе."
Пароль пользователя	e9d592f3-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/P		Строка	Нет	Да	Нет	Нет	Нет	Да	"/P <пароль>
— пароль пользователя, имя которого указано в параметре /N. Если у пользователя нет пароля, этот параметр можно опустить."
Применение аутентификации ОС	e9d592f4-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/WA		Перечисление	Нет	Нет	Нет	Да	Нет	Нет	"/WA [+/-]
— определяет режим использования аутентификации операционной системы при запуске ""1С:Предприятия"". Если параметр /WA не указывается, то подразумевается, что используется параметр командной строки /WA+.

/WA- — запрет применения аутентификации операционной системы при старте ""1С:Предприятия"". 

/WA+ — установка обязательного применения аутентификации операционной системы при старте ""1С:Предприятия""."
Запрос пароля при перезапуске системы	e9d592f7-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/SAOnRestart		Перечисление	Нет	Нет	Нет	Да	Нет	Нет	"/SAOnRestart [+/-]
— указывает на обязательность запроса пароля при перезапуске системы из данного сеанса работы (не используется в тонком клиенте). По умолчанию пароль не запрашивается."
Применение аутентификации ОС на веб-сервере	e9d592f8-dd41-11e8-83dc-485ab6090f00	e9d592f1-dd41-11e8-83dc-485ab6090f00	/WSA		Перечисление	Нет	Нет	Нет	Да	Нет	Нет	"/WSA [+/-]
— определяет режим использования аутентификации операционной системы на веб-сервере. Если параметр /WSA не указывается, то подразумевается, что используется параметр командной строки WSA+.

/WSA- — запрет применения аутентификации пользователя на веб-сервере. 

/WSA+ — установка применения аутентификации пользователя на веб-сервере. Используется аутентификация средствами операционной системы."
Имя пользователя	e9d592fb-dd41-11e8-83dc-485ab6090f00	e9d592f8-dd41-11e8-83dc-485ab6090f00	/WSN	 e9d592fa-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Да	Имя пользователя для аутентификации на веб-сервере
Пароль пользователя	e9d592fc-dd41-11e8-83dc-485ab6090f00	e9d592f8-dd41-11e8-83dc-485ab6090f00	/WSP	 e9d592fa-dd41-11e8-83dc-485ab6090f00	Строка	Нет	Да	Да	Нет	Нет	Да	Пароль пользователя для аутентификации на веб-сервере
